,,,,,,,,,,,,,,,downloaded_filename,drive_file_id
38,Book,Three Twins,Front Cover,Back Cover,1,1,Romance,O.A. Hauerbach,Karl Hoschna,427 Gates Ave. NY,M Witmark & Sons,,1908,Front Cover: A woman dressed liked a clown and and a man holding a picture of a man.,NOT DOWNLOADED: 1mD0S4J3eOqAmLV5KkW8,1mD0S4J3eOqAmLV5KkW82B1ELkwWNbyme
39,Book,Three Twins,Front Cover,Back Cover,1,1,Romance,O.A. Hauerbach,Karl Hoschna,427 Gates Ave. NY,M Witmark & Sons,,1908,Front Cover: A woman dressed liked a clown and and a man holding a picture of a man.,NOT DOWNLOADED: 1CC3Xfce2iUqbN1OVrXf,1CC3Xfce2iUqbN1OVrXfgwnDkkc6HxXlq
40,Book,Always In The Way,Front Cover,Back Cover,1,3,Popular Vocal (piano),Chas. K. Harris,Chas. K. Harris,NY and Chicago,Chas. K. Harris,,1903,Front Cover: Phyllis Gilmore frame in the middle with red and green details.,NOT DOWNLOADED: 1bdVahmdm6IcOMvSx7Ms,1bdVahmdm6IcOMvSx7MsME92JguITRREp
41,Book,A Picnic for Two,Front Cover,Back Cover,1,3,Romance,Arthur J. Lamb,Albert Von Tilzer,40 West 28th St. NY,The York Music Co.,,1905,Front Cover: A picture of four man in the center with a raspberry tree framing the picture.,NOT DOWNLOADED: 1Is2cVMZhpimLnqbPN8w,1Is2cVMZhpimLnqbPN8w1N-refZK0Sp2L
42,Book,"I'm Glad I'm Married The Great ""Yes She Does"" Song",Front Cover,Back Cover,1,3,Popular Vocal (piano),Jack Norworth,Albert Von Tilzer,40 West 28th St. NY,The York Music Co.,,1908,Front Cover: Red and green details with a picture of Henry Fink in the bottom right.,NOT DOWNLOADED: 18DmxnwUjr2h7jMVcOmt,18DmxnwUjr2h7jMVcOmtCzzc12coTdLbg
43,Book,Carrie or Carrie Marry Harry,Front Cover,Back Cover,1,3,Popular Vocal(piano),Junie McCree,Albert Von Tilzer,40 West 28th St. NY,The York Music Co.,,1909,Front Cover: A woman and a man hugging and smiling at each other.,NOT DOWNLOADED: 1upic4cPHAfm9LA7u35A,1upic4cPHAfm9LA7u35AeUo07fuIFyjas
44,Book,I Hope It Doesn't Rain On Sunday,Front Cover,Back Cover,1,1,Sunday,A. Seymour Brown,Nat D. Ayer,Detroit and NY,Jerome H. Remick & Co.,,1910,Front Cover: Yellow details and 2 bases in the front.,NOT DOWNLOADED: 1KWnZK0FFViStdBbk0wU,1KWnZK0FFViStdBbk0wUDe0IHR1mhfjve
45,Book,Merry Widow,Front Cover,Back Cover,1,5,Showtunes,None,Franz Lehar,,Academic Music Co.,,1908,Front Cover: A woman holding a rose. She is wearing blue clothing.,NOT DOWNLOADED: 10kvy7vAIA5mddtRd7R6,10kvy7vAIA5mddtRd7R6sCttC4AX0a5SI
46,Book,Strolling,Front Cover,Back Cover,1,1,Popular Vocal(piano),Lester Charles Riemer,Lester Charles Riemer,"Asbury Park, NJ",The Riemer Music Pub. Co.,,1908,,NOT DOWNLOADED: 13kHmF3XZm01cWXszOMn,13kHmF3XZm01cWXszOMnE0Lc740B2zocX
47,Book,I Want To Linger,Front Cover,Back Cover,1,1,Romance,Stanley Murphy,Henry I. Marshall,Detroit and NY,Jerome H. Remick & Co.,,1914,Front Cover: A woman stitted staring into space.,NOT DOWNLOADED: 1jMnRbFVmB7hbDbw9xpG,1jMnRbFVmB7hbDbw9xpG_SXujaA1pHmC1
48,Book,I Hear You Calling Me Tennessee,Front Cover,Back Cover,1,2,Soul,Powell I. Ford,Ray Russell,1367-69 Broadway NY,Cosmopolitan Music Co. Cosmopolitan Music Co.1914,,1914,Front Cover: A house in near a lake.,NOT DOWNLOADED: 1j7NzodTavHWgebsQcZu,1j7NzodTavHWgebsQcZubUa3ZQ6HyqWev
49,Book,Land of Joy Waltz,Front Cover,Back Cover,1,1,Happy/Waltz/Dance,Ruth Boyd Ober,Joaquin Valverde,,G. Shirmer,,1917,Part of a newspaper- yellow details. A man singing to a woman up in a window.,NOT DOWNLOADED: 1PFjECvdJU4RB1hcM0lK,1PFjECvdJU4RB1hcM0lK7Jm7Vw-a4zujs
50,Book,Hula Lou,Front Cover,Back Cover,1,1,Dreamy,Edward Grossmith,Ted D. Ward,154 West 45th St. NY,Bernard Granville Publishing Co.,,1916,Front Cover: An woman playing the ukele sitting in bench looking at the water.,NOT DOWNLOADED: 1UglgQHYg1JWqyvUj8LH,1UglgQHYg1JWqyvUj8LHPE0oOfBNp4c6V
51,Book,"When You're A Long, Long Way From Home",Front Cover,Back Cover,1,3,Dreamy,Sam. M. Lewis,Geo. W. Meyers,145 West 45th St. NY,Broadway Music Corporation,,1914,Front Cover: Colorful pictures of a house.,NOT DOWNLOADED: 1orrkP70YtzqBrT6-luJ,1orrkP70YtzqBrT6-luJVxz4p5dsNc0p-
