,Media Type,Name of Piece,Front Cover,Back Cover,Box #,Number of Songs,Genre,Lyrics By,Music By,Publisher Location,Publisher Company,Publisher,Copyright Date,Misc. / Notes / Other,downloaded_filename,drive_file_id
11,Record,"Cold Hearted Love, The Lord's A Busy Man, & Pepper Hot Baby (Side 1) &  It's My Destiny, Only You,  & Diddle, Diddle, Dumpling (Side 2)",,,,,,,,,,,,,NOT DOWNLOADED: 1XL-lUmduxLZrFoh35Ax,1XL-lUmduxLZrFoh35AxhEM3EAFfspwvh
12,Record,The Happy Wanderer (Side 1) & Evensong (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 18FMF5YUleqPGHAsWA9r,18FMF5YUleqPGHAsWA9rzxzvLYXlkraa1
13,Record,"Holy Night (Side 1) & Silent Night, Holy Night (Side 2)",,,,,,,,,,,,,,
14,Record,"Silent Night, Holy Night, Hark! The Herald Angels Sing, It Came Upon The Midnight Clear, & Joy To The World (Side 1) & The First Nowell, O Come All Ye Faithful, Away In A Manger, & O Little Town Of Bethlehem (Side 2)",,,,,,,,,,,,,,
15,Record,Ave Maria & Agnus Dei (Side 1) & Crucifixus & Panis Angelicus (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 13CnrYMhC8ssJJhz8NT5,13CnrYMhC8ssJJhz8NT50MRm5wJgLz_Va
16,Record,Four Leaf Clover (Side 1) & My Little Girl (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 1w5gtMcxaEofFann9qUy,1w5gtMcxaEofFann9qUyZKEhZ3KPcveC7
17,Record,When The Organ Played At Twilight (Side 1) & I Can't Believe It's True (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 1vRQ5icOYK6ymuk4CRgw,1vRQ5icOYK6ymuk4CRgwIgictMflB18Nw
18,Record,Mean To Me - Fox Trot (Side 1) & That's What I Call Heaven - Fox Trot (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 1QJw74pB4AR5hkouM9No,1QJw74pB4AR5hkouM9NohNDLj0enDLFMc
19,Record,Vocalion: Old Time Waltzes Part 1 (Side 1) & Old Time Waltzes Part 2 (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 1EL0_vqwQ85uMZMwWfyE,1EL0_vqwQ85uMZMwWfyEWFhN17eRMk15W
20,Record,I'll Be Back (Side 1) & At Mail Call Today (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 1M6rfeUO01IAVuZzCG5K,1M6rfeUO01IAVuZzCG5KJdM4xoU-fxIov
21,Record,Barbara (Side 1) & It's Too Late Now (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 1HXeUFu_GxCB0FHD0z4S,1HXeUFu_GxCB0FHD0z4SQdVRMwEKBYJZ7
22,Record,Me and the Man on the Moon (Side 1) Don't Be Like That (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 1KcY80nTbd4yWdByy1RG,1KcY80nTbd4yWdByy1RGdWDCHYI4MvCQX
23,Record,She Stole My Heart (Side 1) With You (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 1WMxx14JP0Pso6kQNINJ,1WMxx14JP0Pso6kQNINJBsxXCAxOqsI35
24,Record,Shake Your Feet (Side 1) Swanee River Blues (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 1WMxx14JP0Pso6kQNINJ,1WMxx14JP0Pso6kQNINJBsxXCAxOqsI35
25,Record,MAD (Cause You Treat Me This Way) (Side 1) Wonder (If She's Lonely Too),,,,,,,,,,,,,NOT DOWNLOADED: 1odSvkVyqBOHZqXzAg0R,1odSvkVyqBOHZqXzAg0RlmnjhJ1GAlcEB
26,Record,You're Always Messin' 'Round With My Man (Side 1) I'm Goin' Away (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 18yh09ljLrgMhuXlf8k3,18yh09ljLrgMhuXlf8k3W75iUnEaYa5bm
27,Record,If I Had A Girl Like You (Side 1) Every Highway Every Byway Points My Way Home,,,,,,,,,,,,,NOT DOWNLOADED: 1U2FOiXGPtfV4og8qZgP,1U2FOiXGPtfV4og8qZgPvvmU74U6AOXb0
28,Record,"Love, Here is My Heart!",,,,,,,,,,,,,NOT DOWNLOADED: 1xv9NbAl_OMKinsG5t0v,1xv9NbAl_OMKinsG5t0vAO2cPtvKP_JFC
29,Record,It Ain't Gonna Rain No More (Side 1) & Maybe She'll Phone Me (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 1LNumEAPiZ2ckeAxnP0y,1LNumEAPiZ2ckeAxnP0y58zwf2XBGjjOE
30,Record,"Stille Nacht, Heilige Nacht (Slient Night, Holy Night in German)",,,,,,,,,,,,,NOT DOWNLOADED: 1XFP4uEI7CX5QHhroqj2,1XFP4uEI7CX5QHhroqj2xIqQ6rdWikD-t
31,Record,Love Me or Not,,,,,,,,,,,,,NOT DOWNLOADED: 1-_3Chofem6g7kxqdVvx,1-_3Chofem6g7kxqdVvxvCI70pM6Uw9bg
32,Record,Villanelle,,,,,,,,,,,,,NOT DOWNLOADED: 1RAL2O27IwOS-5pqdgsO,1RAL2O27IwOS-5pqdgsOlIzATTGDRK0KP
33,Record,Lakme- Dov'e L'Indiana bruna,,,,,,,,,,,,,NOT DOWNLOADED: 1RysvSBQprMCapgLXABx,1RysvSBQprMCapgLXABxiGD2IvBIDkake
34,Record,Durang's Hornpipe (Side 1) & Ragtime Annie (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 1bYLVFDTktNIgB94RDQg,1bYLVFDTktNIgB94RDQg5jLNOvCokSZjd
35,Record,Arkansas Traveler And Medley Reels (Side 1) & Old Zip Coon And Medley Reels (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 1UTOBuiBFdyiQU1yuNjm,1UTOBuiBFdyiQU1yuNjmcn_ht88ED4x0l
36,Record,"Gems from ""Chin Chin"" (Side 1) & Gems from ""Maid in America"" (Side 2)",,,,,,,,,,,,,NOT DOWNLOADED: 1JO5TbhaCIvHDtTsEePT,1JO5TbhaCIvHDtTsEePTgZkbxeuBm3srf
37,Record,Carmen - II fior che avevi a me,,,,,,,,,,,,,NOT DOWNLOADED: 1Zhvj01q2xD0cq8FbkFr,1Zhvj01q2xD0cq8FbkFrH9yX3VWJFTubg
38,Record,Aloha Oe,,,,,,,,,,,,,NOT DOWNLOADED: 1s5Oi_Qg8ZzHtu6ZbhoG,1s5Oi_Qg8ZzHtu6ZbhoGbH0kR1-hYDPwQ
39,Record,Elijah- If With All Your Hearts,,,,,,,,,,,,,NOT DOWNLOADED: 1dmzS1aNgALeeEzIonVU,1dmzS1aNgALeeEzIonVUj4yF7g8Fi742y
40,Record,Open the Gates of the Temple,,,,,,,,,,,,,NOT DOWNLOADED: 1waWFoda_7iBQmBkpFFT,1waWFoda_7iBQmBkpFFT4VkdhxT7rkpYc
41,Record,Elijah - Oh Rest in the Lord,,,,,,,,,,,,,NOT DOWNLOADED: 1Q8FOkPC5NevkKderIkI,1Q8FOkPC5NevkKderIkIyN_XDEY6RAFYz
42,Record,O'er Waiting Harp-Strings of the Mind,,,,,,,,,,,,,NOT DOWNLOADED: 1bppP0wjAAThseJIoyWp,1bppP0wjAAThseJIoyWp3zwiuSIFHvQhN
43,Record,Missouri Waltz,,,,,,,,,,,,,NOT DOWNLOADED: 1O21xnIq9d20Y5D3qNy9,1O21xnIq9d20Y5D3qNy9JJ06Hc4-FToAW
44,Record,I'm All Bound 'Round With The Mason Dixion Line,,,,,,,,,,,,,NOT DOWNLOADED: 1A1DtleXVjUdQADG7Nhc,1A1DtleXVjUdQADG7NhcY2q71hlGRVFXW
45,Record,A Perfect Day (Side 1) & Mother Machree (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 1PaWqYZx3kQOPt65S94A,1PaWqYZx3kQOPt65S94AU3Dz4xwWYpjzf
46,Record,"Good Bye (Tosti) (Side 1) & Good Night, Beloved, Good Night (Side 2)",,,,,,,,,,,,,NOT DOWNLOADED: 1ca5mUc7ahFg7cwUXFes,1ca5mUc7ahFg7cwUXFesSCLHTk0Rk-X0s
47,Record,For Me And My Gal (Side 1) & Too Fat Polka (I Don't Want Her) (You Can Have Her) (She's Too Fat For Me) (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 12uJX3KUy_Wq4q_LQpWO,12uJX3KUy_Wq4q_LQpWOPeLjRgdT_HLTA
48,Record,I Tipped My Hat (And Slowly Rode Away) (Side 1) & Heartaches (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 1nmPwga65Pal1EwH9B6W,1nmPwga65Pal1EwH9B6WCfOiu7LwYpecU
49,Record,That's My Desire (Side 1) & By The River Sainte River (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 1jO_B3CDSodRtxzY44sJ,1jO_B3CDSodRtxzY44sJUGSfSdqqlKa36
